Namespace(model='nnet', skip_preprocess=True, train_prop='0.25')

Training a nnet model

Iteration 1, loss = 0.91560350
Iteration 112, loss = 0.29030192
Iteration 113, loss = 0.28952351
Iteration 114, loss = 0.28852713
Iteration 115, loss = 0.29052409
Iteration 116, loss = 0.29186259
Iteration 117, loss = 0.28834268
Iteration 118, loss = 0.28773205
Iteration 119, loss = 0.28816430
Iteration 120, loss = 0.28841133
Iteration 121, loss = 0.28605309
Iteration 122, loss = 0.29119171
Iteration 123, loss = 0.28662182
Iteration 124, loss = 0.28623848
Iteration 125, loss = 0.28680584
Iteration 126, loss = 0.28378103
Iteration 127, loss = 0.28627968
Iteration 128, loss = 0.29006855
Iteration 129, loss = 0.28491341
Iteration 130, loss = 0.28245721
Iteration 131, loss = 0.28737858
Iteration 132, loss = 0.28577331
Iteration 133, loss = 0.28303485
Iteration 134, loss = 0.28567725
Iteration 135, loss = 0.28292849
Iteration 136, loss = 0.28249701
Iteration 137, loss = 0.28181692
Iteration 138, loss = 0.28286512
Iteration 139, loss = 0.28353907
Iteration 140, loss = 0.28201794
Iteration 141, loss = 0.28114306
Iteration 142, loss = 0.28305813
Iteration 143, loss = 0.27937231
Iteration 144, loss = 0.28448589
Iteration 145, loss = 0.27754135
Iteration 146, loss = 0.27871985
Iteration 147, loss = 0.27880802
Iteration 148, loss = 0.28158045
Iteration 149, loss = 0.27733196
Iteration 150, loss = 0.28208874
Iteration 151, loss = 0.28067477
Iteration 152, loss = 0.27978830
Iteration 153, loss = 0.27933312
Iteration 154, loss = 0.27486527
Iteration 155, loss = 0.27613900
Iteration 156, loss = 0.27523378
Iteration 157, loss = 0.27789026
Iteration 158, loss = 0.28088715
Iteration 159, loss = 0.28118571
Iteration 160, loss = 0.27561281
Iteration 161, loss = 0.27675090
Iteration 162, loss = 0.28146298
Iteration 163, loss = 0.27781296
Iteration 164, loss = 0.27675524
Iteration 165, loss = 0.28080638
Training loss did not improve more than tol=0.000100 for 10 consecutive epochs. Stopping.
Training time took 124.49916958808899 seconds

Trained a model using MLPClassifier(activation='relu', alpha=0.1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(120, 120, 120), learning_rate='adaptive',
              learning_rate_init=0.001, max_iter=200, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=123, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=True, warm_start=False)
Train FNC Score:
-------------------------------------------------------------
|           |   agree   | disagree  |  discuss  | unrelated |
-------------------------------------------------------------
|   agree   |    776    |    16     |    76     |    58     |
-------------------------------------------------------------
| disagree  |    26     |    141    |    29     |    23     |
-------------------------------------------------------------
|  discuss  |    121    |    23     |   1868    |    182    |
-------------------------------------------------------------
| unrelated |    116    |    27     |    216    |   8795    |
-------------------------------------------------------------
Score: 5056.5 out of 5627.5	(89.85339848956019%)
Train F1 Score: 0.8175061550379621
Train Accuracy Score: 0.9269190746818218

Test FNC Score:
-------------------------------------------------------------
|           |   agree   | disagree  |  discuss  | unrelated |
-------------------------------------------------------------
|   agree   |    323    |    54     |    832    |    694    |
-------------------------------------------------------------
| disagree  |    162    |     1     |    240    |    294    |
-------------------------------------------------------------
|  discuss  |    882    |    108    |   2085    |   1389    |
-------------------------------------------------------------
| unrelated |    995    |    273    |   1066    |   16015   |
-------------------------------------------------------------
Score: 6982.25 out of 11651.25	(59.927046454243104%)
Test F1 Score: 0.376259097816788
Test Accuracy Score: 0.7249832762759217
