Namespace(model='nnet', skip_preprocess=True, train_prop='0.50')

Training a nnet model

Iteration 1, loss = 0.83492094
Iteration 132, loss = 0.31036936
Iteration 133, loss = 0.31102850
Iteration 134, loss = 0.31256451
Iteration 135, loss = 0.30925354
Iteration 136, loss = 0.31016579
Iteration 137, loss = 0.31219977
Iteration 138, loss = 0.31039127
Iteration 139, loss = 0.30979831
Iteration 140, loss = 0.30861560
Iteration 141, loss = 0.30930690
Iteration 142, loss = 0.30812657
Iteration 143, loss = 0.30967741
Iteration 144, loss = 0.30970127
Iteration 145, loss = 0.30641047
Iteration 146, loss = 0.30847115
Iteration 147, loss = 0.30738963
Iteration 148, loss = 0.30786202
Iteration 149, loss = 0.30724673
Iteration 150, loss = 0.30743862
Iteration 151, loss = 0.30693733
Iteration 152, loss = 0.30759032
Iteration 153, loss = 0.30754170
Iteration 154, loss = 0.30932164
Iteration 155, loss = 0.30886462
Iteration 156, loss = 0.30626111
Iteration 157, loss = 0.30792360
Iteration 158, loss = 0.30464498
Iteration 159, loss = 0.30882433
Iteration 160, loss = 0.30724446
Iteration 161, loss = 0.30784309
Iteration 162, loss = 0.30852614
Iteration 163, loss = 0.30671827
Iteration 164, loss = 0.30851829
Iteration 165, loss = 0.30896467
Iteration 166, loss = 0.30695755
Iteration 167, loss = 0.30715855
Iteration 168, loss = 0.30664219
Iteration 169, loss = 0.30423594
Iteration 170, loss = 0.30476310
Iteration 171, loss = 0.30756977
Iteration 172, loss = 0.30607697
Iteration 173, loss = 0.30798526
Iteration 174, loss = 0.30553632
Iteration 175, loss = 0.30509652
Iteration 176, loss = 0.30747785
Iteration 177, loss = 0.30564686
Iteration 178, loss = 0.30669914
Iteration 179, loss = 0.30432057
Iteration 180, loss = 0.30542806
Training loss did not improve more than tol=0.000100 for 10 consecutive epochs. Stopping.
Training time took 445.8099875450134 seconds

Trained a model using MLPClassifier(activation='relu', alpha=0.1, batch_size='auto', beta_1=0.9,
              beta_2=0.999, early_stopping=False, epsilon=1e-08,
              hidden_layer_sizes=(120, 120, 120), learning_rate='adaptive',
              learning_rate_init=0.001, max_iter=200, momentum=0.9,
              n_iter_no_change=10, nesterovs_momentum=True, power_t=0.5,
              random_state=123, shuffle=True, solver='adam', tol=0.0001,
              validation_fraction=0.1, verbose=True, warm_start=False)
Train FNC Score:
-------------------------------------------------------------
|           |   agree   | disagree  |  discuss  | unrelated |
-------------------------------------------------------------
|   agree   |   1305    |    48     |    225    |    267    |
-------------------------------------------------------------
| disagree  |    60     |    206    |    78     |    98     |
-------------------------------------------------------------
|  discuss  |    171    |    26     |   3589    |    667    |
-------------------------------------------------------------
| unrelated |    112    |    23     |    325    |   17786   |
-------------------------------------------------------------
Score: 9698.5 out of 11301.5	(85.81604211830287%)
Train F1 Score: 0.7719716210433804
Train Accuracy Score: 0.91595293364284

Test FNC Score:
-------------------------------------------------------------
|           |   agree   | disagree  |  discuss  | unrelated |
-------------------------------------------------------------
|   agree   |    231    |    16     |    822    |    834    |
-------------------------------------------------------------
| disagree  |    57     |     1     |    214    |    425    |
-------------------------------------------------------------
|  discuss  |    576    |    48     |   1948    |   1892    |
-------------------------------------------------------------
| unrelated |    564    |    35     |   1112    |   16638   |
-------------------------------------------------------------
Score: 6772.75 out of 11651.25	(58.12895612058792%)
Test F1 Score: 0.36721557160091345
Test Accuracy Score: 0.740487152244914
